stationcode,sampledate,Date,Year,stationcode_Year,"Nitrogen,Total",Nitrate + Nitrite as N,"Nitrogen, Total Kjeldahl",Nitrate as N,Nitrite as N,Nitrate as N03,Phosphorus as P
SMC11581,2009-06-29T07:00:00Z,2009-06-29,2009,SMC11581_2009,2,NA,2,2,2,NA,2
SMC00791,2011-06-22T07:00:00Z,2011-06-22,2011,SMC00791_2011,2,NA,2,2,2,NA,2
SMCR8_501,2011-06-14T07:00:00Z,2011-06-14,2011,SMCR8_501_2011,NA,NA,NA,2,NA,NA,NA
SMCR8_593,2011-06-13T07:00:00Z,2011-06-13,2011,SMCR8_593_2011,NA,NA,NA,2,NA,NA,NA
SMCR8_549,2011-06-13T07:00:00Z,2011-06-13,2011,SMCR8_549_2011,NA,NA,NA,2,NA,NA,NA
SMC05165,2011-06-22T07:00:00Z,2011-06-22,2011,SMC05165_2011,2,NA,2,2,2,NA,2
SMC09325,2012-06-21T07:00:00Z,2012-06-21,2012,SMC09325_2012,2,NA,2,2,2,NA,2
SMC06653,2010-07-01T07:00:00Z,2010-07-01,2010,SMC06653_2010,2,NA,2,2,2,NA,2
SMC19669,2013-06-12T07:00:00Z,2013-06-12,2013,SMC19669_2013,2,2,2,2,2,NA,2
SMC00873,2014-06-10T07:00:00Z,2014-06-10,2014,SMC00873_2014,NA,2,1,2,2,NA,1
404M07360,2017-06-08T07:00:00Z,2017-06-08,2017,404M07360_2017,2,2,2,2,2,NA,2
