"stationcode","sampledate","C1","C2","C3"
"SMC00873",2019-05-10 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"SMC00206",2019-06-04 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"SMC00105",2019-05-10 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"801M12675",2019-04-23 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"801M12678",2019-04-25 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"801M12684",2019-06-04 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"845PS0011",2019-06-06 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"SMC01726",2019-06-06 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"SMC00702",2019-06-06 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"901M14145",2019-06-27 07:00:00,"SpecificConductivity",NA,"SpecificConductivity"
"SMCR8_229",2009-06-01 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_026",2009-05-31 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_179",2009-06-01 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_191",2009-06-02 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_289",2009-06-03 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_317",2009-06-03 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_197",2009-06-04 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_339",2009-06-08 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_418",2009-06-08 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_312",2009-06-14 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_131",2009-06-16 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_175",2009-06-09 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_333",2009-06-17 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_207",2009-06-07 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
"SMCR8_299",2009-06-09 07:00:00,NA,"SpecificConductivity","SpecificConductivity"
