objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid,legacy,projectcode,chemistryresultsrecordid,chemistrybatchrecordid
1,SMC00910,2009-04-30T07:00:00Z,1,Grab,WR152081,990947,233656,2009-05-01T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,3380,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:58Z,3325,NA,NA,21108,699
2,SMC00910,2009-04-30T07:00:00Z,1,Grab,WR152081,990947,233656,2009-05-01T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,4.2000000000000002,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:58Z,3325,NA,NA,21109,699
7,SMC00910,2009-04-30T07:00:00Z,1,Grab,WR152081,990947,233656,2009-05-01T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.8700000000000001,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:58Z,3325,NA,NA,21114,699
68,SMC00910,2009-04-30T07:00:00Z,1,Grab,WR152081,Not Recorded,W9E0064,2009-05-04T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88,ND,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:59Z,3325,NA,NA,21175,702
148,SMC00910,2009-04-30T07:00:00Z,1,Grab,WR152086,Not Recorded,6316012,2009-05-11T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.7999999999999998,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:59Z,3325,NA,NA,21255,700
214,SMC00105,2009-05-12T07:00:00Z,1,Grab,WR152776,993754,234213,2009-05-13T07:00:00Z,1,samplewater,EPA 120.1,ElectricalConductivity,Total,umhos/cm,1,1250,=,1,1,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:33Z,3325,NA,NA,21321,728
215,SMC00105,2009-05-12T07:00:00Z,1,Grab,WR152776,993754,234213,2009-05-13T07:00:00Z,1,samplewater,EPA 180.1,Turbidity,Total,NTU,1,2.29,=,0.2,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:33Z,3325,NA,NA,21322,728
220,SMC00105,2009-05-12T07:00:00Z,1,Grab,WR152776,993754,234213,2009-05-13T07:00:00Z,1,samplewater,SM 4500-H+ B,pH,Total,none,1,7.75,=,0.1,0.2,None,-88,ASL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:33Z,3325,NA,NA,21327,728
284,SMC00105,2009-05-12T07:00:00Z,1,Grab,WR152776,Not Recorded,W9E0620,2009-05-15T07:00:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,270,=,2,2,None,-88,WKL,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:33Z,3325,NA,NA,21391,710
364,SMC00105,2009-05-12T07:00:00Z,1,Grab,WR152782,Not Recorded,6316016,2009-05-21T07:00:00Z,1,sediment,SM 4500-H+ B,pH,Not Recorded,none,1,7.7000000000000002,=,0.1,0.2,None,-88,CRGML,NA,{00000000-0000-0000-0000-000000000000},NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-11T22:25:33Z,3325,NA,NA,21471,733
