objectid,stationcode,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,fractionname,record_origin,origin_lastupdatedate,record_publish,total_n_mgl,total_n_mgl_rl,total_n_mgl_mdl,total_n_mgl_method,total_p_mgl,total_p_mgl_rl,total_p_mgl_mdl,total_p_mgl_method
0,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.1133333333333333,0.5000000000000001,0.44100000000000006,calculated,0.086,0.1,0.05,reported
1,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,2,None,NA,NA,NA,0.052,0.10000000000000002,0.04800000000000001,partial,NA,NA,NA,NA
2,000NONPJ,1950-01-01T08:00:00Z,Grab,samplewater,1,2,Total,NA,NA,NA,7.312333333333333,0.2,0.091,calculated,0.32249999999999995,0.08,0.03766,reported
3,000NONPJ,2010-02-03T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,000NONPJ,2010-02-18T08:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.1,partial,NA,NA,NA,NA
5,000NONPJ,2010-05-27T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.0,0.1,0.1,partial,NA,NA,NA,NA
6,000NONPJ,2010-06-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.103,0.05,0.01,reported
7,000NONPJ,2010-06-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,89.4025,0.30000000000000004,0.16899999999999998,partial,NA,NA,NA,NA
8,000NONPJ,2010-06-03T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,68.785,7.550000000000001,4.58,partial,2.44,0.5,0.028,partial
9,000NONPJ,2010-06-04T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.113,0.2,0.076,partial,0.055,0.05,0.0028,partial
10,000NONPJ,2010-06-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,3.21,0.1,0.1,partial,0.143,0.05,0.01,reported
11,000NONPJ,2010-06-08T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,48.88066666666666,2.8166666666666664,1.6235,partial,0.092,0.05,0.01,reported
12,000NONPJ,2010-06-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,192.43333333333334,1.7000000000000002,1.0023333333333333,calculated,0.028,0.05,0.0028,partial
13,000NONPJ,2010-06-10T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,35.760000000000005,5.1,3.017,partial,NA,NA,NA,NA
14,000NONPJ,2010-06-11T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,60.15,4.0,2.5,partial,NA,NA,NA,NA
15,000NONPJ,2010-06-15T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.49,0.30000000000000004,0.14,calculated,NA,NA,NA,NA
16,000NONPJ,2010-06-21T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,0.16,0.1,0.05,partial
17,000NONPJ,2010-06-22T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,13.616999999999999,10.1,5.917000000000001,partial,0.039,0.05,0.0028,partial
18,000NONPJ,2010-06-24T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,000NONPJ,2010-06-25T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,2.14,0.25,0.07,reported
20,000NONPJ,2010-06-28T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,50.36,4.2,2.61,partial,1.796,0.2,0.06,reported
21,000NONPJ,2010-06-29T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,30.416999999999998,2.6,1.517,partial,0.021,0.05,0.0028,partial
22,000NONPJ,2010-07-01T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.577,0.30000000000000004,0.173,partial,NA,NA,NA,NA
23,000NONPJ,2010-07-02T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.059,0.1,0.059,partial,0.124,0.05,0.0028,partial
24,000NONPJ,2010-07-07T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,44.8,4.0,2.5,partial,NA,NA,NA,NA
25,000NONPJ,2010-07-20T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.52,0.2,0.15000000000000002,partial,NA,NA,NA,NA
26,000NONPJ,2010-08-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,000NONPJ,2010-08-13T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,1.23,0.2,0.15000000000000002,partial,NA,NA,NA,NA
28,000NONPJ,2011-06-09T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,0.54,0.1,0.05,partial,NA,NA,NA,NA
29,000NONPJ,2011-06-14T07:00:00Z,Grab,samplewater,1,1,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
