objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid
14900,SMC00027,2020-06-03T07:00:00Z,1,Grab,SMC00027,0F04038-01,[CALC]_SMC2020_N,2020-06-10T23:54:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{4A219D1F-2E35-4030-BB2C-5A7255846EBD},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14901,403M01575,2020-06-03T07:00:00Z,1,Grab,403M01575,0F04038-02,[CALC]_SMC2020_N,2020-06-10T23:55:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{E75ABDAA-596D-4BED-91DC-AA38EA4A3435},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14902,402M00094,2020-06-04T07:00:00Z,1,Grab,402M00094,0F05075-01,[CALC]_SMC2020_N,2020-06-11T00:00:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{6AD15498-07D3-4702-BF21-7454A5E1128D},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14903,402M00090,2020-06-04T07:00:00Z,1,Grab,402M00090,0F05075-02,[CALC]_SMC2020_N,2020-06-11T00:09:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{3CCF3894-3C33-418C-902B-C3FA75F72FDE},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14904,SMC00036,2020-06-09T07:00:00Z,1,Grab,SMC00036,0F10079-02,[CALC]_SMC2020_N,2020-06-18T21:54:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{C88277CE-563E-4055-9F44-A90426BA9161},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14905,403M01629,2020-06-15T07:00:00Z,1,Grab,403M01629,0F16049-01,[CALC]_SMC2020_N,2020-06-18T22:26:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{89C8F5C5-FA76-410B-A115-05160C33F4D3},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14906,SMC00271,2020-06-18T07:00:00Z,1,Grab,SMC00271,0F19045-01,[CALC]_SMC2020_N,2020-06-26T19:32:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{B56BA20C-A972-4009-B50A-0DDBC49D3D4D},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14907,403M01625,2020-06-30T07:00:00Z,1,Grab,403M01625,0G01036-02,[CALC]_SMC2020_N,2020-07-10T00:59:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,-88.0,ND,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{65321260-A863-4A4A-B76E-6082A1555657},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14908,SMC00660,2020-06-17T07:00:00Z,1,Grab,SMC00660,0F18011-01,[CALC]_SMC2020_N,2020-06-26T19:09:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,2,9.4,=,0.09,0.5,D,-88,WKL,"""None"" 01/Jan/1950 00:00",{C0F76269-69C2-411F-8B7E-FA8F1B37DC7F},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14909,404M04672,2020-06-09T07:00:00Z,1,Grab,404M04672,0F10079-01,[CALC]_SMC2020_N,2020-06-18T21:53:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,2.4,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{69EEDE12-5249-4BC8-B6BA-4B580FA0AECF},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
