objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid
15070,LABQA,2020-06-11T07:00:00Z,1,LabBlank,W0F0721-BLK1,W0F0721-BL1,W0F0721,2020-06-11T17:01:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,-88.0,ND,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{471C3E97-F451-4558-8F63-12185A969E7D},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15071,000NONPJ,2020-06-11T07:00:00Z,1,Grab,0E15003-01,0E15003-01,W0F0721,2020-06-11T17:33:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,182.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{AF8EC6DC-1DA8-493D-982F-2BC822501069},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15072,SMC00027,2020-06-03T07:00:00Z,1,Grab,SMC00027,0F04038-01,W0F0721,2020-06-11T19:14:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,150.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{6C4EFF60-9FB4-486F-98C9-86715F25EE0F},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15073,403M01575,2020-06-03T07:00:00Z,1,Grab,403M01575,0F04038-02,W0F0721,2020-06-11T19:21:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{B2B5EBCE-5DC4-4C35-B336-FC15860D7EF1},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15074,402M00094,2020-06-04T07:00:00Z,1,Grab,402M00094,0F05075-01,W0F0721,2020-06-11T19:57:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,170.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{5B7D51F9-320A-4849-92EE-BA3213A840C4},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15075,402M00090,2020-06-04T07:00:00Z,1,Grab,402M00090,0F05075-02,W0F0721,2020-06-11T20:05:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,180.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{5D2C93BA-F09E-4EE3-93EB-F85AF8764B54},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15076,404M04672,2020-06-09T07:00:00Z,1,Grab,404M04672,0F10079-01,W0F0721,2020-06-11T20:23:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,350.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{F29C4D25-A5B4-4D78-A327-A9B5CFE97A2C},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15077,SMC00036,2020-06-09T07:00:00Z,1,Grab,SMC00036,0F10079-02,W0F0721,2020-06-11T20:31:00Z,1,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,380.0,=,0.56,5,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{150DE505-ABD4-487F-80E0-D8B957230D4A},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15078,000NONPJ,2020-06-11T07:00:00Z,1,Grab,0E15003-01,W0F0721-DU1,W0F0721,2020-06-11T17:33:00Z,2,samplewater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,189.0,=,0.56,5,None,-88,WKL,"RPD 3, ""None"" 01/Jan/1950 00:00",{BF5A6E64-0FDA-4BB1-8285-66D06EDFFC83},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
15079,LABQA,2020-06-11T07:00:00Z,1,LCS,W0F0721-BS1,W0F0721-BS1,W0F0721,2020-06-11T17:10:00Z,1,labwater,SM 2320 B,Alkalinity as CaCO3,Total,mg/L,1,249.0,=,0.56,5,None,250,WKL,"PR 100, ""None"" 01/Jan/1950 00:00",{ECE18798-B670-4777-90EE-30A6123DF0D0},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
